n,log10_t,lambda,mu,ell,iterations
120,-5.500000000000000e+00,7.829544203936527e-06,3.900864742575371e-07,2.352563098233084e+00,650
120,-4.000000000000000e+00,2.043258075549908e-04,1.277422477377961e-05,1.915515827812112e+00,650
120,-2.500000000000000e+00,5.027971713499894e-03,4.310413696619094e-04,1.453677013166900e+00,650
120,-1.000000000000000e+00,1.076978676209028e-01,1.696132873112571e-02,9.073653888977713e-01,650
180,-3.550000000000000e+01,3.276957124487795e-35,3.511242261252931e-37,1.025161307847537e+01,650
180,-3.400000000000000e+01,9.974916711698802e-34,1.151346599834383e-35,9.859782051715364e+00,650
180,-3.250000000000000e+01,3.031392010080665e-32,3.644022419725129e-34,9.470869125780512e+00,650
180,-3.100000000000000e+01,9.198807082836687e-31,1.109999554845016e-32,9.087807127352184e+00,650
180,-2.950000000000000e+01,2.787196532173251e-29,3.440242938773656e-31,8.705099294281890e+00,650
180,-2.800000000000000e+01,8.428297061256926e-28,1.123152088530288e-29,8.315981852403898e+00,650
180,-2.650000000000000e+01,2.542437591540089e-26,3.625385509000036e-28,7.925248842053433e+00,650
180,-2.500000000000000e+01,7.651991603790306e-25,1.110954770562063e-26,7.540896126734101e+00,650
180,-2.350000000000000e+01,2.297665597840669e-23,3.507375971470715e-25,7.154943623785041e+00,650
180,-2.200000000000000e+01,6.877019550855207e-22,1.144326770596187e-23,6.762586873795588e+00,650
180,-2.050000000000000e+01,2.051405305819293e-20,3.541318776237507e-22,6.375126838006926e+00,650
180,-1.900000000000000e+01,6.098142403980000e-19,1.128124970713547e-20,5.985329906908645e+00,650
180,-1.750000000000000e+01,1.804340651148705e-17,3.617319721918565e-19,5.591436438998122e+00,650
180,-1.600000000000000e+01,5.313499097309965e-16,1.130330104464797e-17,5.200466086863486e+00,650
180,-1.450000000000000e+01,1.555347965308015e-14,3.650817649760128e-16,4.802993133530030e+00,650
180,-1.300000000000000e+01,4.521744404932673e-13,1.146467490952877e-14,4.407097655837385e+00,650
180,-1.150000000000000e+01,1.303394390391768e-11,3.685428186420385e-13,4.005151490903952e+00,650
180,-1.000000000000000e+01,3.718868123413230e-10,1.173797626327979e-11,3.601488360780432e+00,650
180,-8.500000000000000e+00,1.047071575497249e-08,3.743876606160447e-10,3.192739278251378e+00,650
180,-7.000000000000000e+00,2.897854994024298e-07,1.207379415209572e-08,2.777117052503341e+00,650
180,-5.500000000000000e+00,7.832500962424666e-06,3.905546347134445e-07,2.353350062029330e+00,650
180,-4.000000000000000e+00,2.044177895047180e-04,1.276617584173287e-05,1.916516136629851e+00,650
180,-2.500000000000000e+00,5.030454532689391e-03,4.311041393287240e-04,1.454442300021109e+00,650
180,-1.000000000000000e+00,1.077492214328836e-01,1.697603725220271e-02,9.077318418068091e-01,650
240,-3.550000000000000e+01,3.264303577603844e-35,3.415769419226179e-37,1.021461816619730e+01,650
240,-3.400000000000000e+01,9.941574150003540e-34,1.110551645148502e-35,9.830518985488689e+00,650
240,-3.250000000000000e+01,3.022447046098947e-32,3.565078457393920e-34,9.445079093294964e+00,650
240,-3.100000000000000e+01,9.175045717011472e-31,1.092656590506083e-32,9.065780057960863e+00,650
240,-2.950000000000000e+01,2.780713401565678e-29,3.496682509994992e-31,8.682813059241381e+00,650
240,-2.800000000000000e+01,8.408908868874228e-28,1.126585071155129e-29,8.296250361758716e+00,650
240,-2.650000000000000e+01,2.537719673043893e-26,3.472319765484450e-28,7.915169837602980e+00,650
240,-2.500000000000000e+01,7.641064628721515e-25,1.121628873857818e-26,7.528901741335734e+00,650
240,-2.350000000000000e+01,2.294126018149036e-23,3.534136301099682e-25,7.142904254074157e+00,650
240,-2.200000000000000e+01,6.869217578549548e-22,1.115223568908103e-23,6.757695221658738e+00,650
240,-2.050000000000000e+01,2.049514911511202e-20,3.572155829142771e-22,6.368173733082464e+00,650
240,-1.900000000000000e+01,6.093016539124534e-19,1.121315178868098e-20,5.980885021237724e+00,650
240,-1.750000000000000e+01,1.803271049516796e-17,3.593229541496518e-19,5.588815860046037e+00,650
240,-1.600000000000000e+01,5.311056331285926e-16,1.135336635078202e-17,5.197522667778106e+00,650
240,-1.450000000000000e+01,1.554825258064473e-14,3.612114117618698e-16,4.802564101241574e+00,650
240,-1.300000000000000e+01,4.520774235444025e-13,1.155272901837943e-14,4.405246945260231e+00,650
240,-1.150000000000000e+01,1.303349602512206e-11,3.660112731564837e-13,4.005810404166431e+00,650
240,-1.000000000000000e+01,3.718629706630838e-10,1.171153819042519e-11,3.601514324726587e+00,650
240,-8.500000000000000e+00,1.047161468029406e-08,3.758888844613160e-10,3.192548814734753e+00,650
240,-7.000000000000000e+00,2.898376144107337e-07,1.207567871619254e-08,2.777619356945412e+00,650
240,-5.500000000000000e+00,7.834130082562724e-06,3.902366949297885e-07,2.353965776438675e+00,650
240,-4.000000000000000e+00,2.044653067187709e-04,1.276363015824798e-05,1.917016765605230e+00,650
240,-2.500000000000000e+00,5.031705160055191e-03,4.311685756558817e-04,1.454817406563328e+00,650
240,-1.000000000000000e+00,1.077742383542864e-01,1.698153766519925e-02,9.079270068908711e-01,650
